ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resCookingBiomass,Northwest,PJ/y,5.539975696,3.656383959,1.82819198,0.55399757,0,0,0,0
resCookingKerosene,Northwest,PJ/y,0.039410396,0.026010861,0.013005431,0.00394104,0,0,0,0
resCookingCoal,Northwest,PJ/y,0,0,0,0,0,0,0,0
resAC,Northwest,PJ/y,7.236390569,4.776017775,2.388008888,0.723639057,0,0,0,0
resBoilerNG,Northwest,PJ/y,3.016505992,1.990893955,0.995446977,0.301650599,0,0,0,0
resBoilerElectric,Northwest,PJ/y,0.274227817,0.18099036,0.09049518,0.027422782,0,0,0,0
resBoilerBiomass,Northwest,PJ/y,0.457046362,0.301650599,0.1508253,0.045704636,0,0,0,0
resBoilerNG_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,Northwest,PJ/y,0.228523181,0.1508253,0.07541265,0.022852318,0,0,0,0
resGSHeatPump,Northwest,PJ/y,0.063986491,0.042231084,0.021115542,0.006398649,0,0,0,0
resASHeatPump_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Northwest,PJ/y,0.319932454,0.211155419,0.10557771,0.031993245,0,0,0,0
resCHPBiomass,Northwest,PJ/y,0.045704636,0.03016506,0.01508253,0.004570464,0,0,0,0
resMicroCHPNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,Northwest,PJ/y,0.182818545,0.12066024,0.06033012,0.018281854,0,0,0,0
resCHPFuelCellHdg,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,Northwest,PJ/y,0.005630057,0.003715837,0.001857919,0.000563006,0,0,0,0
resMicroCHPHydrogen,Northwest,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,Peninsular,PJ/y,5.736351395,3.785991921,1.89299596,0.573635139,0,0,0,0
resLightingCon,Peninsular,PJ/y,2.185276722,1.442282636,0.721141318,0.218527672,0,0,0,0
resLightingLED,Peninsular,PJ/y,5.736351395,3.785991921,1.89299596,0.573635139,0,0,0,0
resAppliancesCon,Peninsular,PJ/y,6.302683399,4.159771043,2.079885522,0.63026834,0,0,0,0
resAppliancesAdv,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,Peninsular,PJ/y,0.028889949,0.019067366,0.009533683,0.002888995,0,0,0,0
resCookingNG,Peninsular,PJ/y,9.63E-05,6.36E-05,3.18E-05,9.63E-06,0,0,0,0
resCookingBiomass,Peninsular,PJ/y,4.737951582,3.127048044,1.563524022,0.473795158,0,0,0,0
resCookingKerosene,Peninsular,PJ/y,0.03370494,0.02224526,0.01112263,0.003370494,0,0,0,0
resCookingCoal,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resAC,Peninsular,PJ/y,0.587482277,0.387738303,0.193869151,0.058748228,0,0,0,0
resBoilerNG,Peninsular,PJ/y,1.367001619,0.902221069,0.451110534,0.136700162,0,0,0,0
