ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resLightingCon,Northwest,PJ/y,256,192,144,108,0.1,0.1,0.1,0.1
resHWaterElec,Northwest,PJ/y,270,202.5,151.875,113.90625,0.1,0.1,0.1,0.1
resBoilerElectric,Northwest,PJ/y,281,210.75,158.0625,118.546875,0.1,0.1,0.1,0.1
resLightingEnergySaving,Northwest,PJ/y,671,503.25,377.4375,283.078125,0.1,0.1,0.1,0.1
resCookingElec,Northwest,PJ/y,679,509.25,381.9375,286.453125,0.1,0.1,0.1,0.1
resLightingLED,Northwest,PJ/y,809,606.75,455.0625,341.296875,0.1,0.1,0.1,0.1
resAppliancesCon,Northwest,PJ/y,873,654.75,491.0625,368.296875,0.1,0.1,0.1,0.1
resAC,Northwest,PJ/y,889,666.75,500.0625,375.046875,0.1,0.1,0.1,0.1
resASHeatPump,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Peninsular,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,Peninsular,PJ/y,119,89.25,66.9375,50.203125,0.1,0.1,0.1,0.1
