year,dst_region,asset,region,technology,installed,capacity
2035,North,3,BajaCalif,OC_GAS,2025,199.31610000000
2035,North,49,North,BIO,2020,0.71590000000
2035,North,50,North,CC_GAS,2020,174.38340000000
2035,North,51,North,COAL,2020,4.09970000000
2035,North,54,North,C_H2,2025,1000.00000000000
2035,North,55,North,FC_H2,2020,584.92040000000
2035,North,56,North,FC_H2,2025,552.98570000000
2035,North,57,North,HYD_LS,2020,1.24440000000
2035,North,58,North,HYD_SS,2020,706.40640000000
2035,North,59,North,HYD_SS,2025,706.40640000000
2035,North,60,North,OC_GAS,2020,9.71810000000
2035,North,61,North,OC_OIL,2020,0.23020000000
2035,North,62,North,PV_GND,2020,47.42130000000
2035,North,63,North,PV_SSG,2020,11.45270000000
2035,North,68,Northeast,HYD_SS,2025,556.90430000000
2035,North,76,Northwest,CSP,2025,920.85120000000
2035,North,79,Northwest,HYD_SS,2025,556.95790000000
2035,North,98,Western,CC_GAS,2025,1000.00000000000
2035,North,101,Western,CSP,2025,21.59400000000
2035,North,106,Western,HYD_SS,2025,706.40640000000
2035,Northeast,64,Northeast,BIO,2020,3.05770000000
2035,Northeast,65,Northeast,CC_GAS,2020,380.76440000000
2035,Northeast,67,Northeast,HYD_LS,2020,4.16280000000
2035,Northeast,69,Northeast,OC_GAS,2020,71.69900000000
2035,Northeast,70,Northeast,OC_OIL,2020,1.42860000000
2035,Northeast,71,Northeast,ON_WIND,2020,151.95310000000
2035,Northeast,72,Northeast,PV_GND,2020,53.09020000000
2035,Northeast,73,Northeast,PV_SSG,2020,20.95430000000
2035,BajaCalif,0,BajaCalif,CC_GAS,2020,51.55570000000
2035,BajaCalif,2,BajaCalif,OC_GAS,2020,16.81310000000
2035,BajaCalif,4,BajaCalif,OC_OIL,2020,0.21000000000
2035,BajaCalif,5,BajaCalif,ON_WIND,2020,11.73140000000
2035,BajaCalif,7,BajaCalif,PV_GND,2020,0.06560000000
2035,BajaCalif,8,BajaCalif,PV_SSG,2020,4.22580000000
2035,BajaCalifSouth,11,BajaCalifSouth,OC_GAS,2020,2.90130000000
2035,BajaCalifSouth,13,BajaCalifSouth,OC_OIL,2020,9.92440000000
2035,BajaCalifSouth,16,BajaCalifSouth,PV_GND,2020,3.53010000000
2035,BajaCalifSouth,17,BajaCalifSouth,PV_SSG,2020,1.07200000000
2035,Peninsular,46,Eastern,ON_WIND,2025,1000.00000000000
2035,Peninsular,85,Peninsular,BIO,2020,2.13810000000
2035,Peninsular,86,Peninsular,CC_GAS,2020,44.34910000000
2035,Peninsular,87,Peninsular,CC_OIL,2020,4.62700000000
2035,Peninsular,88,Peninsular,OC_GAS,2020,3.08610000000
2035,Peninsular,89,Peninsular,OC_OIL,2020,1.99500000000
2035,Peninsular,90,Peninsular,ON_WIND,2020,882.87340000000
2035,Peninsular,91,Peninsular,ON_WIND,2025,877.12820000000
2035,Peninsular,92,Peninsular,PV_GND,2020,3.41980000000
2035,Peninsular,93,Peninsular,PV_GND,2025,972.88900000000
2035,Peninsular,94,Peninsular,PV_SSG,2020,8.48610000000
2040,Central,12,BajaCalifSouth,OC_GAS,2025,709.24460000000
2040,Central,18,Central,BIO,2020,2.12300000000
2040,Central,20,Central,CC_GAS,2020,77.11810000000
2040,Central,23,Central,HYD_LS,2020,18.85220000000
2040,Central,24,Central,OC_GAS,2020,17.68980000000
2040,Central,25,Central,OC_OIL,2020,0.37840000000
2040,Central,27,Central,PV_GND,2020,1.34600000000
2040,Central,28,Central,PV_SSG,2020,15.16090000000
2040,Central,98,Western,CC_GAS,2025,1000.00000000000
2040,Eastern,6,BajaCalif,ON_WIND,2025,1497.96000000000
2040,Eastern,15,BajaCalifSouth,ON_WIND,2025,742.92200000000
2040,Eastern,21,Central,CC_GAS,2025,885.01370000000
2040,Eastern,29,Eastern,BIO,2020,11.33910000000
2040,Eastern,31,Eastern,CC_GAS,2020,57.91080000000
2040,Eastern,37,Eastern,CSP,2020,154.93640000000
2040,Eastern,41,Eastern,HYD_LS,2020,18.15210000000
2040,Eastern,42,Eastern,NUCL,2020,103.05960000000
2040,Eastern,43,Eastern,OC_GAS,2020,14.90830000000
2040,Eastern,44,Eastern,OC_OIL,2020,0.41380000000
2040,Eastern,45,Eastern,ON_WIND,2020,54.19270000000
2040,Eastern,47,Eastern,PV_GND,2020,27.80210000000
2040,Eastern,48,Eastern,PV_SSG,2020,9.75950000000
2040,Western,21,Central,CC_GAS,2025,984.83910000000
2040,Western,32,Eastern,CC_GAS,2025,1000.00000000000
2040,Western,95,Western,BIO,2020,3.42670000000
2040,Western,97,Western,CC_GAS,2020,82.62500000000
2040,Western,104,Western,GEOTH,2020,3.27970000000
2040,Western,105,Western,HYD_LS,2020,177.25940000000
2040,Western,107,Western,OC_GAS,2020,31.08500000000
2040,Western,109,Western,ON_WIND,2020,25.16450000000
2040,Western,110,Western,PV_GND,2020,142.90600000000
2040,Western,111,Western,PV_SSG,2020,48.69910000000
2040,Northwest,74,Northwest,CC_GAS,2020,241.42070000000
2040,Northwest,78,Northwest,HYD_LS,2020,32.92360000000
2040,Northwest,83,Northwest,PV_GND,2020,75.34900000000
2040,Northwest,84,Northwest,PV_SSG,2020,9.29660000000
2040,North,3,BajaCalif,OC_GAS,2025,199.31610000000
2040,North,49,North,BIO,2020,0.21130000000
2040,North,50,North,CC_GAS,2020,141.97630000000
2040,North,51,North,COAL,2020,4.09970000000
2040,North,54,North,C_H2,2025,1000.00000000000
2040,North,55,North,FC_H2,2020,584.92040000000
2040,North,56,North,FC_H2,2025,552.98570000000
2040,North,57,North,HYD_LS,2020,1.24440000000
2040,North,58,North,HYD_SS,2020,706.40640000000
2040,North,59,North,HYD_SS,2025,706.40640000000
2040,North,60,North,OC_GAS,2020,8.14640000000
2040,North,62,North,PV_GND,2020,47.42130000000
2040,North,63,North,PV_SSG,2020,11.45270000000
2040,North,68,Northeast,HYD_SS,2025,556.90430000000
2040,North,76,Northwest,CSP,2025,920.85120000000
2040,North,79,Northwest,HYD_SS,2025,556.95790000000
2040,North,98,Western,CC_GAS,2025,1000.00000000000
2040,North,101,Western,CSP,2025,21.59400000000
2040,North,106,Western,HYD_SS,2025,706.40640000000
2040,Northeast,64,Northeast,BIO,2020,0.05420000000
2040,Northeast,65,Northeast,CC_GAS,2020,275.96210000000
2040,Northeast,69,Northeast,OC_GAS,2020,65.87810000000
2040,Northeast,71,Northeast,ON_WIND,2020,147.15960000000
2040,Northeast,72,Northeast,PV_GND,2020,53.09020000000
2040,Northeast,73,Northeast,PV_SSG,2020,20.95430000000
2040,BajaCalif,0,BajaCalif,CC_GAS,2020,47.28570000000
2040,BajaCalif,2,BajaCalif,OC_GAS,2020,16.81310000000
2040,BajaCalif,5,BajaCalif,ON_WIND,2020,11.73140000000
2040,BajaCalif,8,BajaCalif,PV_SSG,2020,4.22580000000
2040,BajaCalifSouth,11,BajaCalifSouth,OC_GAS,2020,2.90130000000
2040,BajaCalifSouth,13,BajaCalifSouth,OC_OIL,2020,1.26140000000
2040,BajaCalifSouth,16,BajaCalifSouth,PV_GND,2020,1.57680000000
2040,BajaCalifSouth,17,BajaCalifSouth,PV_SSG,2020,1.07200000000
2040,Peninsular,46,Eastern,ON_WIND,2025,1000.00000000000
2040,Peninsular,85,Peninsular,BIO,2020,2.13810000000
2040,Peninsular,86,Peninsular,CC_GAS,2020,1.94890000000
2040,Peninsular,88,Peninsular,OC_GAS,2020,3.08610000000
2040,Peninsular,89,Peninsular,OC_OIL,2020,1.19840000000
2040,Peninsular,90,Peninsular,ON_WIND,2020,882.77880000000
2040,Peninsular,91,Peninsular,ON_WIND,2025,877.12820000000
2040,Peninsular,92,Peninsular,PV_GND,2020,3.41980000000
2040,Peninsular,93,Peninsular,PV_GND,2025,972.88900000000
2040,Peninsular,94,Peninsular,PV_SSG,2020,8.48610000000
2045,Central,12,BajaCalifSouth,OC_GAS,2025,709.24460000000
2045,Central,20,Central,CC_GAS,2020,77.11810000000
